epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,25771.7,0.06863,0.59808,0.89218,0,0.00018,0,0,4.34117,6.73272,4.2212,0.006931,0.006931,0.006931
95,26339.4,0.06924,0.59311,0.89263,0,9e-05,0,0,4.66863,6.62206,4.46669,0.006898,0.006898,0.006898
96,26891.7,inf,0.5863,0.8918,0,9e-05,0,0,4.84755,5.03439,4.49999,0.006865,0.006865,0.006865
97,27426.9,0.0739,0.65248,0.89464,0,9e-05,0,0,5.17829,5.17822,5.05425,0.006832,0.006832,0.006832
98,27957.1,0.07438,0.66242,0.89478,0,9e-05,0,0,5.79419,5.31803,6.38665,0.006799,0.006799,0.006799
99,28485.2,0.07286,0.65763,0.89448,0,9e-05,0,0,6.20163,5.79375,8.11044,0.006766,0.006766,0.006766
100,29026.8,0.07627,0.65977,0.89385,0,9e-05,0,0,6.46497,5.9261,9.14645,0.006733,0.006733,0.006733
101,29583.5,0.07362,0.63982,0.89447,0,0.00017,0,0,6.57923,10.2546,9.62387,0.0067,0.0067,0.0067
102,30144.9,inf,0.62968,0.89314,0,0.00017,0,0,6.61643,13.8171,10.3563,0.006667,0.006667,0.006667
103,30683.4,0.07257,0.62289,0.89315,0,0.00017,0,0,6.62449,8.27134,11.0625,0.006634,0.006634,0.006634
104,31210.7,0.07522,0.62564,0.89405,0,0.00017,0,0,6.6106,6.13004,11.0531,0.006601,0.006601,0.006601
105,31738.6,0.07497,0.6315,0.89337,0,0.00017,0,0,6.55984,5.87305,10.4553,0.006568,0.006568,0.006568
106,32267.3,0.07432,0.62601,0.89436,0,0.00017,0,0,6.56015,5.73146,10.0063,0.006535,0.006535,0.006535
107,32793.2,inf,0.61511,0.89348,0,0.00017,0,0,6.55919,5.77585,9.47822,0.006502,0.006502,0.006502
108,33317.3,inf,0.57674,0.89154,0,0.00017,0,0,6.49548,5.95414,8.51444,0.006469,0.006469,0.006469
